state,fuel_type,year,registrations
Chhatisgarh,CNG ONLY,2022,1
Chhatisgarh,DIESEL,2022,66105
Chhatisgarh,DIESEL/HYBRID,2022,10
Chhatisgarh,ELECTRIC(BOV),2022,22364
Chhatisgarh,ETHANOL(E100),2022,0
Chhatisgarh,FUEL CELL HYDROGEN,2022,0
Chhatisgarh,LPG ONLY,2022,79
Chhatisgarh,NOT APPLICABLE,2022,5835
Chhatisgarh,PETROL,2022,400990
Chhatisgarh,PETROL(E20),2022,0
Chhatisgarh,PETROL(E20)/CNG,2022,0
Chhatisgarh,PETROL(E20)/HYBRID,2022,0
Chhatisgarh,PETROL(E20)/HYBRID/CNG,2022,1
Chhatisgarh,PETROL(E20)/LPG,2022,0
Chhatisgarh,PETROL/CNG,2022,12
Chhatisgarh,PETROL/HYBRID,2022,5627
Chhatisgarh,PETROL/HYBRID/CNG,2022,0
Chhatisgarh,PETROL/LPG,2022,12
Chhatisgarh,PURE EV,2022,0
Chhatisgarh,STRONG HYBRID EV,2022,0
Chhatisgarh,CNG ONLY,2023,2
Chhatisgarh,DIESEL,2023,74497
Chhatisgarh,DIESEL/HYBRID,2023,45
Chhatisgarh,ELECTRIC(BOV),2023,38248
Chhatisgarh,ETHANOL(E100),2023,0
Chhatisgarh,FUEL CELL HYDROGEN,2023,0
Chhatisgarh,LPG ONLY,2023,162
Chhatisgarh,NOT APPLICABLE,2023,5892
Chhatisgarh,PETROL,2023,434216
Chhatisgarh,PETROL(E20),2023,3071
Chhatisgarh,PETROL(E20)/CNG,2023,1
Chhatisgarh,PETROL(E20)/HYBRID,2023,0
Chhatisgarh,PETROL(E20)/HYBRID/CNG,2023,0
Chhatisgarh,PETROL(E20)/LPG,2023,1
Chhatisgarh,PETROL/CNG,2023,19
Chhatisgarh,PETROL/HYBRID,2023,8399
Chhatisgarh,PETROL/HYBRID/CNG,2023,0
Chhatisgarh,PETROL/LPG,2023,10
Chhatisgarh,PURE EV,2023,0
Chhatisgarh,STRONG HYBRID EV,2023,0
Chhatisgarh,CNG ONLY,2024,42
Chhatisgarh,DIESEL,2024,88464
Chhatisgarh,DIESEL/HYBRID,2024,107
Chhatisgarh,ELECTRIC(BOV),2024,33158
Chhatisgarh,ETHANOL(E100),2024,8
Chhatisgarh,FUEL CELL HYDROGEN,2024,0
Chhatisgarh,LPG ONLY,2024,122
Chhatisgarh,NOT APPLICABLE,2024,9491
Chhatisgarh,PETROL,2024,550076
